Contig	Chromosome
NW_020849976.1	NW_020849976.1
NW_020849977.1	NW_020849977.1
NW_020849978.1	NW_020849978.1
NW_020849979.1	NW_020849979.1
NW_020849980.1	NW_020849980.1
NW_020849981.1	NW_020849981.1
NW_020849982.1	NW_020849982.1
NW_020849983.1	NW_020849983.1
NW_020849984.1	NW_020849984.1
NW_020849985.1	NW_020849985.1
NW_020849986.1	NW_020849986.1
NW_020849987.1	NW_020849987.1
NW_020849988.1	NW_020849988.1
NW_020849989.1	NW_020849989.1
NW_020849990.1	NW_020849990.1
NW_020849991.1	NW_020849991.1
NW_020849992.1	NW_020849992.1
NW_020849993.1	NW_020849993.1
NW_020849994.1	NW_020849994.1
NW_020849995.1	NW_020849995.1
NW_020849996.1	NW_020849996.1
NW_020849997.1	NW_020849997.1
NW_020849998.1	NW_020849998.1
NW_020849999.1	NW_020849999.1
NW_020850000.1	NW_020850000.1
NW_020850001.1	NW_020850001.1
NW_020850002.1	NW_020850002.1
NW_020850003.1	NW_020850003.1
NW_020850004.1	NW_020850004.1
NW_020850005.1	NW_020850005.1
NW_020850006.1	NW_020850006.1
NW_020850007.1	NW_020850007.1
NW_020850008.1	NW_020850008.1
NW_020850009.1	NW_020850009.1
NW_020850010.1	NW_020850010.1
NW_020850011.1	NW_020850011.1
NW_020850012.1	NW_020850012.1
NW_020850013.1	NW_020850013.1
NW_020850014.1	NW_020850014.1
NW_020850015.1	NW_020850015.1
NW_020850016.1	NW_020850016.1
NW_020850017.1	NW_020850017.1
NW_020850018.1	NW_020850018.1
NW_020850019.1	NW_020850019.1
NW_020850020.1	NW_020850020.1
NW_020850021.1	NW_020850021.1
NW_020850022.1	NW_020850022.1
NW_020850023.1	NW_020850023.1
NW_020850024.1	NW_020850024.1
NW_020850025.1	NW_020850025.1
NW_020850026.1	NW_020850026.1
NW_020850027.1	NW_020850027.1
NW_020850028.1	NW_020850028.1
NW_020850029.1	NW_020850029.1
NW_020850030.1	NW_020850030.1
NW_020850031.1	NW_020850031.1
NW_020850032.1	NW_020850032.1
NW_020850033.1	NW_020850033.1
NW_020850034.1	NW_020850034.1
NW_020850035.1	NW_020850035.1
NW_020850036.1	NW_020850036.1
NW_020850037.1	NW_020850037.1
NW_020850038.1	NW_020850038.1
NW_020850039.1	NW_020850039.1
NW_020850040.1	NW_020850040.1
NW_020850041.1	NW_020850041.1
NW_020850042.1	NW_020850042.1
NW_020850043.1	NW_020850043.1
NW_020850044.1	NW_020850044.1
NW_020850045.1	NW_020850045.1
NW_020850046.1	NW_020850046.1
NW_020850047.1	NW_020850047.1
NW_020850048.1	NW_020850048.1
NW_020850049.1	NW_020850049.1
NW_020850050.1	NW_020850050.1
NW_020850051.1	NW_020850051.1
NW_020850052.1	NW_020850052.1
NW_020850053.1	NW_020850053.1
NW_020850054.1	NW_020850054.1
NW_020850055.1	NW_020850055.1
NW_020850056.1	NW_020850056.1
NW_020850057.1	NW_020850057.1
NW_020850058.1	NW_020850058.1
NW_020850059.1	NW_020850059.1
NW_020850060.1	NW_020850060.1
NW_020850061.1	NW_020850061.1
NW_020850062.1	NW_020850062.1
NW_020850063.1	NW_020850063.1
NW_020850064.1	NW_020850064.1
NW_020850065.1	NW_020850065.1
NW_020850066.1	NW_020850066.1
NW_020850067.1	NW_020850067.1
NW_020850068.1	NW_020850068.1
NW_020850069.1	NW_020850069.1
NW_020850070.1	NW_020850070.1
NW_020850071.1	NW_020850071.1
NW_020850072.1	NW_020850072.1
NW_020850073.1	NW_020850073.1
NW_020850074.1	NW_020850074.1
NW_020850075.1	NW_020850075.1
NW_020850076.1	NW_020850076.1
NW_020850077.1	NW_020850077.1
NW_020850078.1	NW_020850078.1
NW_020850079.1	NW_020850079.1
NW_020850080.1	NW_020850080.1
NW_020850081.1	NW_020850081.1
NW_020850082.1	NW_020850082.1
NW_020850083.1	NW_020850083.1
NW_020850084.1	NW_020850084.1
NW_020850085.1	NW_020850085.1
NW_020850086.1	NW_020850086.1
NW_020850087.1	NW_020850087.1
NW_020850088.1	NW_020850088.1
NW_020850089.1	NW_020850089.1
NW_020850090.1	NW_020850090.1
NW_020850091.1	NW_020850091.1
NW_020850092.1	NW_020850092.1
NW_020850093.1	NW_020850093.1
NW_020850094.1	NW_020850094.1
NW_020850095.1	NW_020850095.1
NW_020850096.1	NW_020850096.1
NW_020850097.1	NW_020850097.1
NW_020850098.1	NW_020850098.1
NW_020850099.1	NW_020850099.1
NW_020850100.1	NW_020850100.1
NW_020850101.1	NW_020850101.1
NW_020850102.1	NW_020850102.1
NW_020850103.1	NW_020850103.1
NW_020850104.1	NW_020850104.1
NW_020850105.1	NW_020850105.1
NW_020850106.1	NW_020850106.1
NW_020850107.1	NW_020850107.1
NW_020850108.1	NW_020850108.1
NW_020850109.1	NW_020850109.1
NW_020850110.1	NW_020850110.1
NW_020850111.1	NW_020850111.1
NW_020850112.1	NW_020850112.1
NW_020850113.1	NW_020850113.1
NW_020850114.1	NW_020850114.1
NW_020850115.1	NW_020850115.1
NW_020850116.1	NW_020850116.1
NW_020850117.1	NW_020850117.1
NW_020850118.1	NW_020850118.1
NW_020850119.1	NW_020850119.1
NW_020850120.1	NW_020850120.1
NW_020850121.1	NW_020850121.1
NW_020850122.1	NW_020850122.1
NW_020850123.1	NW_020850123.1
NW_020850124.1	NW_020850124.1
NW_020850125.1	NW_020850125.1
NW_020850126.1	NW_020850126.1
NW_020850127.1	NW_020850127.1
NW_020850128.1	NW_020850128.1
NW_020850129.1	NW_020850129.1
NW_020850130.1	NW_020850130.1
NW_020850131.1	NW_020850131.1
NW_020850132.1	NW_020850132.1
NW_020850133.1	NW_020850133.1
NW_020850134.1	NW_020850134.1
NW_020850135.1	NW_020850135.1
NW_020850136.1	NW_020850136.1
NW_020850137.1	NW_020850137.1
NW_020850138.1	NW_020850138.1
NW_020850139.1	NW_020850139.1
NW_020850140.1	NW_020850140.1
NW_020850141.1	NW_020850141.1
NW_020850142.1	NW_020850142.1
NW_020850143.1	NW_020850143.1
NW_020850144.1	NW_020850144.1
NW_020850145.1	NW_020850145.1
NW_020850146.1	NW_020850146.1
NW_020850147.1	NW_020850147.1
NW_020850148.1	NW_020850148.1
NW_020850149.1	NW_020850149.1
NW_020850150.1	NW_020850150.1
NW_020850151.1	NW_020850151.1
NW_020850152.1	NW_020850152.1
NW_020850153.1	NW_020850153.1
NW_020850154.1	NW_020850154.1
NW_020850155.1	NW_020850155.1
NW_020850156.1	NW_020850156.1
NW_020850157.1	NW_020850157.1
NW_020850158.1	NW_020850158.1
NW_020850159.1	NW_020850159.1
NW_020850160.1	NW_020850160.1
NW_020850161.1	NW_020850161.1
NW_020850162.1	NW_020850162.1
NW_020850163.1	NW_020850163.1
NW_020850164.1	NW_020850164.1
NW_020850165.1	NW_020850165.1
NW_020850166.1	NW_020850166.1
NW_020850167.1	NW_020850167.1
NW_020850168.1	NW_020850168.1
NW_020850169.1	NW_020850169.1
NW_020850170.1	NW_020850170.1
NW_020850171.1	NW_020850171.1
NW_020850172.1	NW_020850172.1
NW_020850173.1	NW_020850173.1
NW_020850174.1	NW_020850174.1
NW_020850175.1	NW_020850175.1
NW_020850176.1	NW_020850176.1
NW_020850177.1	NW_020850177.1
NW_020850178.1	NW_020850178.1
NW_020850179.1	NW_020850179.1
NW_020850180.1	NW_020850180.1
NW_020850181.1	NW_020850181.1
NW_020850182.1	NW_020850182.1
NW_020850183.1	NW_020850183.1
NW_020850184.1	NW_020850184.1
NW_020850185.1	NW_020850185.1
NW_020850186.1	NW_020850186.1
NW_020850187.1	NW_020850187.1
NW_020850188.1	NW_020850188.1
NW_020850189.1	NW_020850189.1
NW_020850190.1	NW_020850190.1
NW_020850191.1	NW_020850191.1
NW_020850192.1	NW_020850192.1
NW_020850193.1	NW_020850193.1
NW_020850194.1	NW_020850194.1
NW_020850195.1	NW_020850195.1
NW_020850196.1	NW_020850196.1
NW_020850197.1	NW_020850197.1
NW_020850198.1	NW_020850198.1
NW_020850199.1	NW_020850199.1
NW_020850200.1	NW_020850200.1
NW_020850201.1	NW_020850201.1
NW_020850202.1	NW_020850202.1
NW_020850203.1	NW_020850203.1
NW_020850204.1	NW_020850204.1
NW_020850205.1	NW_020850205.1
NW_020850206.1	NW_020850206.1
NW_020850207.1	NW_020850207.1
NW_020850208.1	NW_020850208.1
NW_020850209.1	NW_020850209.1
NW_020850210.1	NW_020850210.1
NW_020850211.1	NW_020850211.1
NW_020850212.1	NW_020850212.1
NW_020850213.1	NW_020850213.1
NW_020850214.1	NW_020850214.1
NW_020850215.1	NW_020850215.1
NW_020850216.1	NW_020850216.1
NW_020850217.1	NW_020850217.1
NW_020850218.1	NW_020850218.1
NW_020850219.1	NW_020850219.1
NW_020850220.1	NW_020850220.1
NW_020850221.1	NW_020850221.1
NW_020850222.1	NW_020850222.1
NW_020850223.1	NW_020850223.1
NW_020850224.1	NW_020850224.1
NW_020850225.1	NW_020850225.1
NW_020850226.1	NW_020850226.1
NW_020850227.1	NW_020850227.1
NW_020850228.1	NW_020850228.1
NW_020850229.1	NW_020850229.1
NW_020850230.1	NW_020850230.1
NW_020850231.1	NW_020850231.1
NW_020850232.1	NW_020850232.1
NW_020850233.1	NW_020850233.1
NW_020850234.1	NW_020850234.1
NW_020850235.1	NW_020850235.1
NW_020850236.1	NW_020850236.1
NW_020850237.1	NW_020850237.1
NW_020850238.1	NW_020850238.1
NW_020850239.1	NW_020850239.1
NW_020850240.1	NW_020850240.1
NW_020850241.1	NW_020850241.1
NW_020850242.1	NW_020850242.1
NW_020850243.1	NW_020850243.1
NW_020850244.1	NW_020850244.1
NW_020850245.1	NW_020850245.1
NW_020850246.1	NW_020850246.1
NW_020850247.1	NW_020850247.1
NW_020850248.1	NW_020850248.1
NW_020850249.1	NW_020850249.1
NW_020850250.1	NW_020850250.1
NW_020850251.1	NW_020850251.1
NW_020850252.1	NW_020850252.1
NW_020850253.1	NW_020850253.1
NW_020850254.1	NW_020850254.1
NW_020850255.1	NW_020850255.1
NW_020850256.1	NW_020850256.1
NW_020850257.1	NW_020850257.1
NW_020850258.1	NW_020850258.1
NW_020850259.1	NW_020850259.1
NW_020850260.1	NW_020850260.1
NW_020850261.1	NW_020850261.1
NW_020850262.1	NW_020850262.1
NW_020850263.1	NW_020850263.1
NW_020850264.1	NW_020850264.1
NW_020850265.1	NW_020850265.1
NW_020850266.1	NW_020850266.1
NW_020850267.1	NW_020850267.1
NW_020850268.1	NW_020850268.1
NW_020850269.1	NW_020850269.1
NW_020850270.1	NW_020850270.1
NW_020850271.1	NW_020850271.1
NW_020850272.1	NW_020850272.1
NW_020850273.1	NW_020850273.1
NW_020850274.1	NW_020850274.1
NW_020850275.1	NW_020850275.1
NW_020850276.1	NW_020850276.1
NW_020850277.1	NW_020850277.1
NW_020850278.1	NW_020850278.1
NW_020850279.1	NW_020850279.1
NW_020850280.1	NW_020850280.1
NW_020850281.1	NW_020850281.1
NW_020850282.1	NW_020850282.1
NW_020850283.1	NW_020850283.1
NW_020850284.1	NW_020850284.1
NW_020850285.1	NW_020850285.1
NW_020850286.1	NW_020850286.1
NW_020850287.1	NW_020850287.1
NW_020850288.1	NW_020850288.1
NW_020850289.1	NW_020850289.1
NW_020850290.1	NW_020850290.1
NW_020850291.1	NW_020850291.1
NW_020850292.1	NW_020850292.1
NW_020850293.1	NW_020850293.1
NW_020850294.1	NW_020850294.1
NW_020850295.1	NW_020850295.1
NW_020850296.1	NW_020850296.1
NW_020850297.1	NW_020850297.1
NW_020850298.1	NW_020850298.1
NW_020850299.1	NW_020850299.1
NW_020850300.1	NW_020850300.1
NW_020850301.1	NW_020850301.1
NW_020850302.1	NW_020850302.1
NW_020850303.1	NW_020850303.1
NW_020850304.1	NW_020850304.1
NW_020850305.1	NW_020850305.1
NW_020850306.1	NW_020850306.1
NW_020850307.1	NW_020850307.1
NW_020850308.1	NW_020850308.1
NW_020850309.1	NW_020850309.1
NW_020850310.1	NW_020850310.1
NW_020850311.1	NW_020850311.1
NW_020850312.1	NW_020850312.1
NW_020850313.1	NW_020850313.1
NW_020850314.1	NW_020850314.1
NW_020850315.1	NW_020850315.1
NW_020850316.1	NW_020850316.1
NW_020850317.1	NW_020850317.1
NW_020850318.1	NW_020850318.1
NW_020850319.1	NW_020850319.1
NW_020850320.1	NW_020850320.1
NW_020850321.1	NW_020850321.1
NW_020850322.1	NW_020850322.1
NW_020850323.1	NW_020850323.1
NW_020850324.1	NW_020850324.1
NW_020850325.1	NW_020850325.1
NW_020850326.1	NW_020850326.1
NW_020850327.1	NW_020850327.1
NW_020850328.1	NW_020850328.1
NW_020850329.1	NW_020850329.1
NW_020850330.1	NW_020850330.1
NW_020850331.1	NW_020850331.1
NW_020850332.1	NW_020850332.1
NW_020850333.1	NW_020850333.1
NW_020850334.1	NW_020850334.1
NW_020850335.1	NW_020850335.1
NW_020850336.1	NW_020850336.1
NW_020850337.1	NW_020850337.1
NW_020850338.1	NW_020850338.1
NW_020850339.1	NW_020850339.1
NW_020850340.1	NW_020850340.1
NW_020850341.1	NW_020850341.1
NW_020850342.1	NW_020850342.1
NW_020850343.1	NW_020850343.1
NW_020850344.1	NW_020850344.1
NW_020850345.1	NW_020850345.1
NW_020850346.1	NW_020850346.1
NW_020850347.1	NW_020850347.1
NW_020850348.1	NW_020850348.1
NW_020850349.1	NW_020850349.1
NW_020850350.1	NW_020850350.1
NW_020850351.1	NW_020850351.1
NW_020850352.1	NW_020850352.1
NW_020850353.1	NW_020850353.1
NW_020850354.1	NW_020850354.1
NW_020850355.1	NW_020850355.1
NW_020850356.1	NW_020850356.1
NW_020850357.1	NW_020850357.1
NW_020850358.1	NW_020850358.1
NW_020850359.1	NW_020850359.1
NW_020850360.1	NW_020850360.1
NW_020850361.1	NW_020850361.1
NW_020850362.1	NW_020850362.1
NW_020850363.1	NW_020850363.1
NW_020850364.1	NW_020850364.1
NW_020850365.1	NW_020850365.1
NW_020850366.1	NW_020850366.1
NW_020850367.1	NW_020850367.1
NW_020850368.1	NW_020850368.1
NW_020850369.1	NW_020850369.1
NW_020850370.1	NW_020850370.1
NW_020850371.1	NW_020850371.1
NW_020850372.1	NW_020850372.1
NW_020850373.1	NW_020850373.1
NW_020850374.1	NW_020850374.1
NW_020850375.1	NW_020850375.1
NW_020850376.1	NW_020850376.1
NW_020850377.1	NW_020850377.1
NW_020850378.1	NW_020850378.1
NW_020850379.1	NW_020850379.1
NW_020850380.1	NW_020850380.1
NW_020850381.1	NW_020850381.1
NW_020850382.1	NW_020850382.1
NW_020850383.1	NW_020850383.1
NW_020850384.1	NW_020850384.1
NW_020850385.1	NW_020850385.1
NW_020850386.1	NW_020850386.1
NW_020850387.1	NW_020850387.1
NW_020850388.1	NW_020850388.1
NW_020850389.1	NW_020850389.1
NW_020850390.1	NW_020850390.1
NW_020850391.1	NW_020850391.1
NW_020850392.1	NW_020850392.1
NW_020850393.1	NW_020850393.1
NW_020850394.1	NW_020850394.1
NW_020850395.1	NW_020850395.1
NW_020850396.1	NW_020850396.1
NW_020850397.1	NW_020850397.1
NW_020850398.1	NW_020850398.1
NW_020850399.1	NW_020850399.1
NW_020850400.1	NW_020850400.1
NW_020850401.1	NW_020850401.1
NW_020850402.1	NW_020850402.1
NW_020850403.1	NW_020850403.1
NW_020850404.1	NW_020850404.1
NW_020850405.1	NW_020850405.1
NW_020850406.1	NW_020850406.1
NW_020850407.1	NW_020850407.1
NW_020850408.1	NW_020850408.1
NW_020850409.1	NW_020850409.1
NW_020850410.1	NW_020850410.1
NW_020850411.1	NW_020850411.1
NW_020850412.1	NW_020850412.1
NW_020850413.1	NW_020850413.1
NW_020850414.1	NW_020850414.1
NW_020850415.1	NW_020850415.1
NW_020850416.1	NW_020850416.1
NW_020850417.1	NW_020850417.1
NW_020850418.1	NW_020850418.1
NW_020850419.1	NW_020850419.1
NW_020850420.1	NW_020850420.1
NW_020850421.1	NW_020850421.1
NW_020850422.1	NW_020850422.1
NW_020850423.1	NW_020850423.1
NW_020850424.1	NW_020850424.1
NW_020850425.1	NW_020850425.1
NW_020850426.1	NW_020850426.1
NW_020850427.1	NW_020850427.1
NW_020850428.1	NW_020850428.1
NW_020850429.1	NW_020850429.1
NW_020850430.1	NW_020850430.1
NW_020850431.1	NW_020850431.1
NW_020850432.1	NW_020850432.1
NW_020850433.1	NW_020850433.1
NW_020850434.1	NW_020850434.1
NW_020850435.1	NW_020850435.1
NW_020850436.1	NW_020850436.1
NW_020850437.1	NW_020850437.1
NW_020850438.1	NW_020850438.1
NW_020850439.1	NW_020850439.1
NW_020850440.1	NW_020850440.1
NW_020850441.1	NW_020850441.1
NW_020850442.1	NW_020850442.1
NW_020850443.1	NW_020850443.1
NW_020850444.1	NW_020850444.1
NW_020850445.1	NW_020850445.1
NW_020850446.1	NW_020850446.1
NW_020850447.1	NW_020850447.1
NW_020850448.1	NW_020850448.1
NW_020850449.1	NW_020850449.1
NW_020850450.1	NW_020850450.1
NW_020850451.1	NW_020850451.1
NW_020850452.1	NW_020850452.1
NW_020850453.1	NW_020850453.1
NW_020850454.1	NW_020850454.1
NW_020850455.1	NW_020850455.1
NW_020850456.1	NW_020850456.1
NW_020850457.1	NW_020850457.1
NW_020850458.1	NW_020850458.1
NW_020850459.1	NW_020850459.1
NW_020850460.1	NW_020850460.1
NW_020850461.1	NW_020850461.1
NW_020850462.1	NW_020850462.1
NW_020850463.1	NW_020850463.1
NW_020850464.1	NW_020850464.1
NW_020850465.1	NW_020850465.1
NW_020850466.1	NW_020850466.1
NW_020850467.1	NW_020850467.1
NW_020850468.1	NW_020850468.1
NW_020850469.1	NW_020850469.1
NW_020850470.1	NW_020850470.1
NW_020850471.1	NW_020850471.1
NW_020850472.1	NW_020850472.1
NW_020850473.1	NW_020850473.1
NW_020850474.1	NW_020850474.1
NW_020850475.1	NW_020850475.1
NW_020850476.1	NW_020850476.1
NW_020850477.1	NW_020850477.1
NW_020850478.1	NW_020850478.1
NW_020850479.1	NW_020850479.1
NW_020850480.1	NW_020850480.1
NW_020850481.1	NW_020850481.1
NW_020850482.1	NW_020850482.1
NW_020850483.1	NW_020850483.1
NW_020850484.1	NW_020850484.1
NW_020850485.1	NW_020850485.1
NW_020850486.1	NW_020850486.1
NW_020850487.1	NW_020850487.1
NW_020850488.1	NW_020850488.1
NW_020850489.1	NW_020850489.1
NW_020850490.1	NW_020850490.1
NW_020850491.1	NW_020850491.1
NW_020850492.1	NW_020850492.1
NW_020850493.1	NW_020850493.1
NW_020850494.1	NW_020850494.1
NW_020850495.1	NW_020850495.1
NW_020850496.1	NW_020850496.1
NW_020850497.1	NW_020850497.1
NW_020850498.1	NW_020850498.1
NW_020850499.1	NW_020850499.1
NW_020850500.1	NW_020850500.1
NW_020850501.1	NW_020850501.1
NW_020850502.1	NW_020850502.1
NW_020850503.1	NW_020850503.1
NW_020850504.1	NW_020850504.1
NW_020850505.1	NW_020850505.1
NW_020850506.1	NW_020850506.1
NW_020850507.1	NW_020850507.1
NW_020850508.1	NW_020850508.1
NW_020850509.1	NW_020850509.1
NW_020850510.1	NW_020850510.1
NW_020850511.1	NW_020850511.1
NW_020850512.1	NW_020850512.1
NW_020850513.1	NW_020850513.1
NW_020850514.1	NW_020850514.1
NW_020850515.1	NW_020850515.1
NW_020850516.1	NW_020850516.1
NW_020850517.1	NW_020850517.1
NW_020850518.1	NW_020850518.1
NW_020850519.1	NW_020850519.1
NW_020850520.1	NW_020850520.1
NW_020850521.1	NW_020850521.1
NW_020850522.1	NW_020850522.1
NW_020850523.1	NW_020850523.1
NW_020850524.1	NW_020850524.1
NW_020850525.1	NW_020850525.1
NW_020850526.1	NW_020850526.1
NW_020850527.1	NW_020850527.1
NW_020850528.1	NW_020850528.1
NW_020850529.1	NW_020850529.1
NW_020850530.1	NW_020850530.1
NW_020850531.1	NW_020850531.1
NW_020850532.1	NW_020850532.1
NW_020850533.1	NW_020850533.1
NW_020850534.1	NW_020850534.1
NW_020850535.1	NW_020850535.1
NW_020850536.1	NW_020850536.1
NW_020850537.1	NW_020850537.1
NW_020850538.1	NW_020850538.1
NW_020850539.1	NW_020850539.1
NW_020850540.1	NW_020850540.1
NW_020850541.1	NW_020850541.1
NW_020850542.1	NW_020850542.1
NW_020850543.1	NW_020850543.1
NW_020850544.1	NW_020850544.1
NW_020850545.1	NW_020850545.1
NW_020850546.1	NW_020850546.1
NW_020850547.1	NW_020850547.1
NW_020850548.1	NW_020850548.1
NW_020850549.1	NW_020850549.1
NW_020850550.1	NW_020850550.1
NW_020850551.1	NW_020850551.1
NW_020850552.1	NW_020850552.1
NW_020850553.1	NW_020850553.1
NW_020850554.1	NW_020850554.1
NW_020850555.1	NW_020850555.1
NW_020850556.1	NW_020850556.1
NW_020850557.1	NW_020850557.1
NW_020850558.1	NW_020850558.1
NW_020850559.1	NW_020850559.1
NW_020850560.1	NW_020850560.1
NW_020850561.1	NW_020850561.1
NW_020850562.1	NW_020850562.1
NW_020850563.1	NW_020850563.1
NW_020850564.1	NW_020850564.1
NW_020850565.1	NW_020850565.1
NW_020850566.1	NW_020850566.1
NW_020850567.1	NW_020850567.1
NW_020850568.1	NW_020850568.1
NW_020850569.1	NW_020850569.1
NW_020850570.1	NW_020850570.1
NW_020850571.1	NW_020850571.1
NW_020850572.1	NW_020850572.1
NW_020850573.1	NW_020850573.1
NW_020850574.1	NW_020850574.1
NW_020850575.1	NW_020850575.1
NW_020850576.1	NW_020850576.1
NW_020850577.1	NW_020850577.1
NW_020850578.1	NW_020850578.1
NW_020850579.1	NW_020850579.1
NW_020850580.1	NW_020850580.1
NW_020850581.1	NW_020850581.1
NW_020850582.1	NW_020850582.1
NW_020850583.1	NW_020850583.1
NW_020850584.1	NW_020850584.1
NW_020850585.1	NW_020850585.1
NW_020850586.1	NW_020850586.1
NW_020850587.1	NW_020850587.1
NW_020850588.1	NW_020850588.1
NW_020850589.1	NW_020850589.1
NW_020850590.1	NW_020850590.1
NW_020850591.1	NW_020850591.1
NW_020850592.1	NW_020850592.1
NW_020850593.1	NW_020850593.1
NW_020850594.1	NW_020850594.1
NW_020850595.1	NW_020850595.1
NW_020850596.1	NW_020850596.1
NW_020850597.1	NW_020850597.1
NW_020850598.1	NW_020850598.1
NW_020850599.1	NW_020850599.1
NW_020850600.1	NW_020850600.1
NW_020850601.1	NW_020850601.1
NW_020850602.1	NW_020850602.1
NW_020850603.1	NW_020850603.1
NW_020850604.1	NW_020850604.1
NW_020850605.1	NW_020850605.1
NW_020850606.1	NW_020850606.1
NW_020850607.1	NW_020850607.1
NW_020850608.1	NW_020850608.1
NW_020850609.1	NW_020850609.1
NW_020850610.1	NW_020850610.1
NW_020850611.1	NW_020850611.1
NW_020850612.1	NW_020850612.1
NW_020850613.1	NW_020850613.1
NW_020850614.1	NW_020850614.1
NW_020850615.1	NW_020850615.1
NW_020850616.1	NW_020850616.1
NW_020850617.1	NW_020850617.1
NW_020850618.1	NW_020850618.1
NW_020850619.1	NW_020850619.1
NW_020850620.1	NW_020850620.1
NW_020850621.1	NW_020850621.1
NW_020850622.1	NW_020850622.1
NW_020850623.1	NW_020850623.1
NW_020850624.1	NW_020850624.1
NW_020850625.1	NW_020850625.1
NW_020850626.1	NW_020850626.1
NW_020850627.1	NW_020850627.1
NW_020850628.1	NW_020850628.1
NW_020850629.1	NW_020850629.1
NW_020850630.1	NW_020850630.1
NW_020850631.1	NW_020850631.1
NW_020850632.1	NW_020850632.1
NW_020850633.1	NW_020850633.1
NW_020850634.1	NW_020850634.1
NW_020850635.1	NW_020850635.1
NW_020850636.1	NW_020850636.1
NW_020850637.1	NW_020850637.1
NW_020850638.1	NW_020850638.1
NW_020850639.1	NW_020850639.1
NW_020850640.1	NW_020850640.1
NW_020850641.1	NW_020850641.1
NW_020850642.1	NW_020850642.1
NW_020850643.1	NW_020850643.1
NW_020850644.1	NW_020850644.1
NW_020850645.1	NW_020850645.1
NW_020850646.1	NW_020850646.1
NW_020850647.1	NW_020850647.1
NW_020850648.1	NW_020850648.1
NW_020850649.1	NW_020850649.1
NW_020850650.1	NW_020850650.1
NW_020850651.1	NW_020850651.1
NW_020850652.1	NW_020850652.1
NW_020850653.1	NW_020850653.1
NW_020850654.1	NW_020850654.1
NW_020850655.1	NW_020850655.1
NW_020850656.1	NW_020850656.1
NW_020850657.1	NW_020850657.1
NW_020850658.1	NW_020850658.1
NW_020850659.1	NW_020850659.1
NW_020850660.1	NW_020850660.1
NW_020850661.1	NW_020850661.1
NW_020850662.1	NW_020850662.1
NW_020850663.1	NW_020850663.1
NW_020850664.1	NW_020850664.1
NW_020850665.1	NW_020850665.1
NW_020850666.1	NW_020850666.1
NW_020850667.1	NW_020850667.1
NW_020850668.1	NW_020850668.1
NW_020850669.1	NW_020850669.1
NW_020850670.1	NW_020850670.1
NW_020850671.1	NW_020850671.1
NW_020850672.1	NW_020850672.1
NW_020850673.1	NW_020850673.1
NW_020850674.1	NW_020850674.1
NW_020850675.1	NW_020850675.1
NW_020850676.1	NW_020850676.1
NW_020850677.1	NW_020850677.1
NW_020850678.1	NW_020850678.1
NW_020850679.1	NW_020850679.1
NW_020850680.1	NW_020850680.1
NW_020850681.1	NW_020850681.1
NW_020850682.1	NW_020850682.1
NW_020850683.1	NW_020850683.1
NW_020850684.1	NW_020850684.1
NW_020850685.1	NW_020850685.1
NW_020850686.1	NW_020850686.1
NW_020850687.1	NW_020850687.1
NW_020850688.1	NW_020850688.1
NW_020850689.1	NW_020850689.1
NW_020850690.1	NW_020850690.1
NW_020850691.1	NW_020850691.1
NW_020850692.1	NW_020850692.1
NW_020850693.1	NW_020850693.1
NW_020850694.1	NW_020850694.1
NW_020850695.1	NW_020850695.1
NW_020850696.1	NW_020850696.1
NW_020850697.1	NW_020850697.1
NW_020850698.1	NW_020850698.1
NW_020850699.1	NW_020850699.1
NW_020850700.1	NW_020850700.1
NW_020850701.1	NW_020850701.1
NW_020850702.1	NW_020850702.1
NW_020850703.1	NW_020850703.1
NW_020850704.1	NW_020850704.1
NW_020850705.1	NW_020850705.1
NW_020850706.1	NW_020850706.1
NW_020850707.1	NW_020850707.1
NW_020850708.1	NW_020850708.1
NW_020850709.1	NW_020850709.1
NW_020850710.1	NW_020850710.1
NW_020850711.1	NW_020850711.1
NW_020850712.1	NW_020850712.1
NW_020850713.1	NW_020850713.1
NW_020850714.1	NW_020850714.1
NW_020850715.1	NW_020850715.1
NW_020850716.1	NW_020850716.1
NW_020850717.1	NW_020850717.1
NW_020850718.1	NW_020850718.1
NW_020850719.1	NW_020850719.1
NW_020850720.1	NW_020850720.1
NW_020850721.1	NW_020850721.1
NW_020850722.1	NW_020850722.1
NW_020850723.1	NW_020850723.1
NW_020850724.1	NW_020850724.1
NW_020850725.1	NW_020850725.1
NW_020850726.1	NW_020850726.1
NW_020850727.1	NW_020850727.1
NW_020850728.1	NW_020850728.1
NW_020850729.1	NW_020850729.1
NW_020850730.1	NW_020850730.1
NW_020850731.1	NW_020850731.1
NW_020850732.1	NW_020850732.1
NW_020850733.1	NW_020850733.1
NW_020850734.1	NW_020850734.1
NW_020850735.1	NW_020850735.1
NW_020850736.1	NW_020850736.1
NW_020850737.1	NW_020850737.1
NW_020850738.1	NW_020850738.1
NW_020850739.1	NW_020850739.1
NW_020850740.1	NW_020850740.1
NW_020850741.1	NW_020850741.1
NW_020850742.1	NW_020850742.1
NW_020850743.1	NW_020850743.1
NW_020850744.1	NW_020850744.1
NW_020850745.1	NW_020850745.1
NW_020850746.1	NW_020850746.1
NW_020850747.1	NW_020850747.1
NW_020850748.1	NW_020850748.1
NW_020850749.1	NW_020850749.1
NW_020850750.1	NW_020850750.1
NW_020850751.1	NW_020850751.1
NW_020850752.1	NW_020850752.1
