Contig	Chromosome
NW_020848801.1	NW_020848801.1
NW_020848802.1	NW_020848802.1
NW_020848803.1	NW_020848803.1
NW_020848804.1	NW_020848804.1
NW_020848805.1	NW_020848805.1
NW_020848806.1	NW_020848806.1
NW_020848807.1	NW_020848807.1
NW_020848808.1	NW_020848808.1
NW_020848809.1	NW_020848809.1
NW_020848810.1	NW_020848810.1
NW_020848811.1	NW_020848811.1
NW_020848812.1	NW_020848812.1
NW_020848813.1	NW_020848813.1
NW_020848814.1	NW_020848814.1
NW_020848815.1	NW_020848815.1
NW_020848816.1	NW_020848816.1
NW_020848817.1	NW_020848817.1
NW_020848818.1	NW_020848818.1
NW_020848819.1	NW_020848819.1
NW_020848820.1	NW_020848820.1
NW_020848821.1	NW_020848821.1
NW_020848822.1	NW_020848822.1
NW_020848823.1	NW_020848823.1
NW_020848824.1	NW_020848824.1
NW_020848825.1	NW_020848825.1
NW_020848826.1	NW_020848826.1
NW_020848827.1	NW_020848827.1
NW_020848828.1	NW_020848828.1
NW_020848829.1	NW_020848829.1
NW_020848830.1	NW_020848830.1
NW_020848831.1	NW_020848831.1
NW_020848832.1	NW_020848832.1
NW_020848833.1	NW_020848833.1
NW_020848834.1	NW_020848834.1
NW_020848835.1	NW_020848835.1
NW_020848836.1	NW_020848836.1
NW_020848837.1	NW_020848837.1
NW_020848838.1	NW_020848838.1
NW_020848839.1	NW_020848839.1
NW_020848840.1	NW_020848840.1
NW_020848841.1	NW_020848841.1
NW_020848842.1	NW_020848842.1
NW_020848843.1	NW_020848843.1
NW_020848844.1	NW_020848844.1
NW_020848845.1	NW_020848845.1
NW_020848846.1	NW_020848846.1
NW_020848847.1	NW_020848847.1
NW_020848848.1	NW_020848848.1
NW_020848849.1	NW_020848849.1
NW_020848850.1	NW_020848850.1
NW_020848851.1	NW_020848851.1
NW_020848852.1	NW_020848852.1
NW_020848853.1	NW_020848853.1
NW_020848854.1	NW_020848854.1
NW_020848855.1	NW_020848855.1
NW_020848856.1	NW_020848856.1
NW_020848857.1	NW_020848857.1
NW_020848858.1	NW_020848858.1
NW_020848859.1	NW_020848859.1
NW_020848860.1	NW_020848860.1
NW_020848861.1	NW_020848861.1
NW_020848862.1	NW_020848862.1
NW_020848863.1	NW_020848863.1
NW_020848864.1	NW_020848864.1
NW_020848865.1	NW_020848865.1
NW_020848866.1	NW_020848866.1
NW_020848867.1	NW_020848867.1
NW_020848868.1	NW_020848868.1
NW_020848869.1	NW_020848869.1
NW_020848870.1	NW_020848870.1
NW_020848871.1	NW_020848871.1
NW_020848872.1	NW_020848872.1
NW_020848873.1	NW_020848873.1
NW_020848874.1	NW_020848874.1
NW_020848875.1	NW_020848875.1
NW_020848876.1	NW_020848876.1
NW_020848877.1	NW_020848877.1
NW_020848878.1	NW_020848878.1
NW_020848879.1	NW_020848879.1
NW_020848880.1	NW_020848880.1
NW_020848881.1	NW_020848881.1
NW_020848882.1	NW_020848882.1
NW_020848883.1	NW_020848883.1
NW_020848884.1	NW_020848884.1
NW_020848885.1	NW_020848885.1
NW_020848886.1	NW_020848886.1
NW_020848887.1	NW_020848887.1
NW_020848888.1	NW_020848888.1
NW_020848889.1	NW_020848889.1
NW_020848890.1	NW_020848890.1
NW_020848891.1	NW_020848891.1
NW_020848892.1	NW_020848892.1
NW_020848893.1	NW_020848893.1
NW_020848894.1	NW_020848894.1
NW_020848895.1	NW_020848895.1
NW_020848896.1	NW_020848896.1
NW_020848897.1	NW_020848897.1
NW_020848898.1	NW_020848898.1
NW_020848899.1	NW_020848899.1
NW_020848900.1	NW_020848900.1
NW_020848901.1	NW_020848901.1
NW_020848902.1	NW_020848902.1
NW_020848903.1	NW_020848903.1
NW_020848904.1	NW_020848904.1
NW_020848905.1	NW_020848905.1
NW_020848906.1	NW_020848906.1
NW_020848907.1	NW_020848907.1
NW_020848908.1	NW_020848908.1
NW_020848909.1	NW_020848909.1
NW_020848910.1	NW_020848910.1
NW_020848911.1	NW_020848911.1
NW_020848912.1	NW_020848912.1
NW_020848913.1	NW_020848913.1
NW_020848914.1	NW_020848914.1
NW_020848915.1	NW_020848915.1
NW_020848916.1	NW_020848916.1
NW_020848917.1	NW_020848917.1
NW_020848918.1	NW_020848918.1
NW_020848919.1	NW_020848919.1
NW_020848920.1	NW_020848920.1
NW_020848921.1	NW_020848921.1
NW_020848922.1	NW_020848922.1
NW_020848923.1	NW_020848923.1
NW_020848924.1	NW_020848924.1
NW_020848925.1	NW_020848925.1
NW_020848926.1	NW_020848926.1
NW_020848927.1	NW_020848927.1
NW_020848928.1	NW_020848928.1
NW_020848929.1	NW_020848929.1
NW_020848930.1	NW_020848930.1
NW_020848931.1	NW_020848931.1
NW_020848932.1	NW_020848932.1
NW_020848933.1	NW_020848933.1
NW_020848934.1	NW_020848934.1
NW_020848935.1	NW_020848935.1
NW_020848936.1	NW_020848936.1
NW_020848937.1	NW_020848937.1
NW_020848938.1	NW_020848938.1
NW_020848939.1	NW_020848939.1
NW_020848940.1	NW_020848940.1
NW_020848941.1	NW_020848941.1
NW_020848942.1	NW_020848942.1
NW_020848943.1	NW_020848943.1
NW_020848944.1	NW_020848944.1
NW_020848945.1	NW_020848945.1
NW_020848946.1	NW_020848946.1
NW_020848947.1	NW_020848947.1
NW_020848948.1	NW_020848948.1
NW_020848949.1	NW_020848949.1
NW_020848950.1	NW_020848950.1
NW_020848951.1	NW_020848951.1
NW_020848952.1	NW_020848952.1
NW_020848953.1	NW_020848953.1
NW_020848954.1	NW_020848954.1
NW_020848955.1	NW_020848955.1
NW_020848956.1	NW_020848956.1
NW_020848957.1	NW_020848957.1
NW_020848958.1	NW_020848958.1
NW_020848959.1	NW_020848959.1
NW_020848960.1	NW_020848960.1
NW_020848961.1	NW_020848961.1
NW_020848962.1	NW_020848962.1
NW_020848963.1	NW_020848963.1
NW_020848964.1	NW_020848964.1
NW_020848965.1	NW_020848965.1
NW_020848966.1	NW_020848966.1
NW_020848967.1	NW_020848967.1
NW_020848968.1	NW_020848968.1
NW_020848969.1	NW_020848969.1
NW_020848970.1	NW_020848970.1
NW_020848971.1	NW_020848971.1
NW_020848972.1	NW_020848972.1
NW_020848973.1	NW_020848973.1
NW_020848974.1	NW_020848974.1
NW_020848975.1	NW_020848975.1
NW_020848976.1	NW_020848976.1
NW_020848977.1	NW_020848977.1
NW_020848978.1	NW_020848978.1
NW_020848979.1	NW_020848979.1
NW_020848980.1	NW_020848980.1
NW_020848981.1	NW_020848981.1
NW_020848982.1	NW_020848982.1
NW_020848983.1	NW_020848983.1
NW_020848984.1	NW_020848984.1
NW_020848985.1	NW_020848985.1
NW_020848986.1	NW_020848986.1
NW_020848987.1	NW_020848987.1
NW_020848988.1	NW_020848988.1
NW_020848989.1	NW_020848989.1
NW_020848990.1	NW_020848990.1
NW_020848991.1	NW_020848991.1
NW_020848992.1	NW_020848992.1
NW_020848993.1	NW_020848993.1
NW_020848994.1	NW_020848994.1
NW_020848995.1	NW_020848995.1
NW_020848996.1	NW_020848996.1
NW_020848997.1	NW_020848997.1
NW_020848998.1	NW_020848998.1
NW_020848999.1	NW_020848999.1
NW_020849000.1	NW_020849000.1
NW_020849001.1	NW_020849001.1
NW_020849002.1	NW_020849002.1
NW_020849003.1	NW_020849003.1
NW_020849004.1	NW_020849004.1
NW_020849005.1	NW_020849005.1
NW_020849006.1	NW_020849006.1
NW_020849007.1	NW_020849007.1
NW_020849008.1	NW_020849008.1
NW_020849009.1	NW_020849009.1
NW_020849010.1	NW_020849010.1
NW_020849011.1	NW_020849011.1
NW_020849012.1	NW_020849012.1
NW_020849013.1	NW_020849013.1
NW_020849014.1	NW_020849014.1
NW_020849015.1	NW_020849015.1
NW_020849016.1	NW_020849016.1
NW_020849017.1	NW_020849017.1
NW_020849018.1	NW_020849018.1
NW_020849019.1	NW_020849019.1
NW_020849020.1	NW_020849020.1
NW_020849021.1	NW_020849021.1
NW_020849022.1	NW_020849022.1
NW_020849023.1	NW_020849023.1
NW_020849024.1	NW_020849024.1
NW_020849025.1	NW_020849025.1
NW_020849026.1	NW_020849026.1
NW_020849027.1	NW_020849027.1
NW_020849028.1	NW_020849028.1
NW_020849029.1	NW_020849029.1
NW_020849030.1	NW_020849030.1
NW_020849031.1	NW_020849031.1
NW_020849032.1	NW_020849032.1
NW_020849033.1	NW_020849033.1
NW_020849034.1	NW_020849034.1
NW_020849035.1	NW_020849035.1
NW_020849036.1	NW_020849036.1
NW_020849037.1	NW_020849037.1
NW_020849038.1	NW_020849038.1
NW_020849039.1	NW_020849039.1
NW_020849040.1	NW_020849040.1
NW_020849041.1	NW_020849041.1
NW_020849042.1	NW_020849042.1
NW_020849043.1	NW_020849043.1
NW_020849044.1	NW_020849044.1
NW_020849045.1	NW_020849045.1
NW_020849046.1	NW_020849046.1
NW_020849047.1	NW_020849047.1
NW_020849048.1	NW_020849048.1
NW_020849049.1	NW_020849049.1
NW_020849050.1	NW_020849050.1
NW_020849051.1	NW_020849051.1
NW_020849052.1	NW_020849052.1
NW_020849053.1	NW_020849053.1
NW_020849054.1	NW_020849054.1
NW_020849055.1	NW_020849055.1
NW_020849056.1	NW_020849056.1
NW_020849057.1	NW_020849057.1
NW_020849058.1	NW_020849058.1
NW_020849059.1	NW_020849059.1
NW_020849060.1	NW_020849060.1
NW_020849061.1	NW_020849061.1
NW_020849062.1	NW_020849062.1
NW_020849063.1	NW_020849063.1
NW_020849064.1	NW_020849064.1
NW_020849065.1	NW_020849065.1
NW_020849066.1	NW_020849066.1
NW_020849067.1	NW_020849067.1
NW_020849068.1	NW_020849068.1
NW_020849069.1	NW_020849069.1
NW_020849070.1	NW_020849070.1
NW_020849071.1	NW_020849071.1
NW_020849072.1	NW_020849072.1
NW_020849073.1	NW_020849073.1
NW_020849074.1	NW_020849074.1
NW_020849075.1	NW_020849075.1
NW_020849076.1	NW_020849076.1
NW_020849077.1	NW_020849077.1
NW_020849078.1	NW_020849078.1
NW_020849079.1	NW_020849079.1
NW_020849080.1	NW_020849080.1
NW_020849081.1	NW_020849081.1
NW_020849082.1	NW_020849082.1
NW_020849083.1	NW_020849083.1
NW_020849084.1	NW_020849084.1
NW_020849085.1	NW_020849085.1
NW_020849086.1	NW_020849086.1
NW_020849087.1	NW_020849087.1
NW_020849088.1	NW_020849088.1
NW_020849089.1	NW_020849089.1
NW_020849090.1	NW_020849090.1
NW_020849091.1	NW_020849091.1
NW_020849092.1	NW_020849092.1
NW_020849093.1	NW_020849093.1
NW_020849094.1	NW_020849094.1
NW_020849095.1	NW_020849095.1
NW_020849096.1	NW_020849096.1
NW_020849097.1	NW_020849097.1
NW_020849098.1	NW_020849098.1
NW_020849099.1	NW_020849099.1
NW_020849100.1	NW_020849100.1
NW_020849101.1	NW_020849101.1
NW_020849102.1	NW_020849102.1
NW_020849103.1	NW_020849103.1
NW_020849104.1	NW_020849104.1
NW_020849105.1	NW_020849105.1
NW_020849106.1	NW_020849106.1
NW_020849107.1	NW_020849107.1
NW_020849108.1	NW_020849108.1
NW_020849109.1	NW_020849109.1
NW_020849110.1	NW_020849110.1
NW_020849111.1	NW_020849111.1
NW_020849112.1	NW_020849112.1
NW_020849113.1	NW_020849113.1
NW_020849114.1	NW_020849114.1
NW_020849115.1	NW_020849115.1
NW_020849116.1	NW_020849116.1
NW_020849117.1	NW_020849117.1
NW_020849118.1	NW_020849118.1
NW_020849119.1	NW_020849119.1
NW_020849120.1	NW_020849120.1
NW_020849121.1	NW_020849121.1
NW_020849122.1	NW_020849122.1
NW_020849123.1	NW_020849123.1
NW_020849124.1	NW_020849124.1
NW_020849125.1	NW_020849125.1
NW_020849126.1	NW_020849126.1
NW_020849127.1	NW_020849127.1
NW_020849128.1	NW_020849128.1
